Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,N,P,K,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Phosphorous,Fertilizer Name,PH,Carbon,Soil,Remark
Potato,Karnataka,Clay,6.38,142.72,58.73,159.52,1.73,30.47,928.52,18.49,12.0,Compost,131.83,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Gujarat,Peaty,6.35,144.56,39.57,136.29,1.12,29.11,625.22,24.73,18.0,Potash,196.28,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Tamil Nadu,Clay,6.03,139.47,30.91,135.46,1.02,27.22,421.24,22.76,19.0,Potash,187.61,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Silty,6.23,178.86,58.18,129.93,1.52,37.6,863.12,31.16,19.0,Compost,135.26,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Andhra Pradesh,Clay,7.33,142.53,56.59,138.41,1.39,36.79,1397.7,29.74,18.0,Potash,107.86,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Karnataka,Peaty,6.3,164.06,54.59,93.84,1.04,28.45,765.88,29.03,15.0,Potash,115.92,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Karnataka,Peaty,7.11,101.6,41.22,95.53,1.0,23.12,735.41,25.65,18.0,Urea,158.91,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Andhra Pradesh,Peaty,6.78,152.81,38.75,147.93,1.38,20.07,610.34,24.17,4.0,DAP,86.11,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Karnataka,Silty,6.02,127.71,51.38,98.59,1.3,37.45,722.89,31.97,16.0,Potash,119.06,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Andhra Pradesh,Silty,6.01,162.31,35.46,120.85,1.28,21.38,945.14,28.92,14.0,Mixed,181.92,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Maharashtra,Loamy,5.84,122.08,43.94,104.09,1.14,27.76,828.85,26.09,5.0,Urea,93.99,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Andhra Pradesh,Silty,6.21,109.26,31.88,95.21,0.82,35.44,405.52,21.6,18.0,Urea,113.63,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Gujarat,Clay,7.03,134.73,52.91,145.74,1.59,34.99,996.41,21.36,20.0,Compost,179.14,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Karnataka,Peaty,6.16,129.02,47.83,138.19,1.53,39.09,675.79,27.81,5.0,Compost,157.22,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Andhra Pradesh,Loamy,6.11,138.28,49.62,103.03,1.57,20.25,955.96,27.55,9.0,Compost,111.86,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Gujarat,Peaty,6.85,154.31,62.47,155.36,1.54,37.51,692.95,22.92,18.0,Compost,173.38,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Karnataka,Silty,6.41,158.52,36.31,110.62,1.49,25.09,670.28,23.51,8.0,Compost,129.1,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Silty,5.84,143.31,31.83,156.2,1.36,29.42,1402.25,30.3,19.0,Urea,129.17,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Peaty,6.38,118.3,32.73,133.82,1.11,28.73,818.84,24.59,6.0,Urea,192.86,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Karnataka,Loamy,6.71,165.38,30.54,135.2,1.22,34.18,658.28,24.25,18.0,Compost,129.45,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Clay,7.35,151.59,50.53,156.63,1.06,29.63,1000.56,27.9,7.0,Urea,175.65,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Karnataka,Clay,6.9,142.72,25.36,84.62,1.32,32.83,745.84,23.19,8.0,DAP,148.76,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Silty,5.97,151.77,40.75,95.46,1.23,29.24,527.64,30.55,19.0,Potash,189.74,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Tamil Nadu,Loamy,6.75,179.51,51.38,139.26,1.3,28.43,878.05,30.92,15.0,Compost,103.7,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Tamil Nadu,Peaty,6.15,168.65,40.58,143.18,1.36,37.98,722.23,32.21,4.0,Mixed,93.16,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Tamil Nadu,Silty,6.24,110.4,36.88,87.8,1.33,33.25,767.95,27.13,12.0,Urea,195.34,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Tamil Nadu,Clay,5.87,175.64,30.85,136.0,1.56,39.27,1359.76,27.39,4.0,Compost,97.81,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Gujarat,Sandy,6.21,141.14,47.54,120.46,1.04,20.44,829.65,27.13,19.0,Potash,132.99,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Gujarat,Silty,6.81,118.31,48.42,130.44,0.88,28.15,728.05,29.88,7.0,Urea,154.35,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Gujarat,Loamy,5.96,117.62,36.32,134.12,1.4,25.3,540.1,26.46,19.0,Urea,88.62,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Maharashtra,Sandy,6.38,154.81,42.2,112.46,1.55,31.6,938.49,22.05,18.0,Compost,151.36,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Sandy,7.31,138.92,48.91,90.54,1.18,36.36,626.02,30.92,14.0,Potash,166.6,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Maharashtra,Silty,6.84,125.13,49.15,116.75,1.48,37.3,438.81,29.21,18.0,DAP,108.51,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Maharashtra,Clay,6.59,144.52,51.66,128.59,1.38,39.39,548.56,26.92,4.0,DAP,191.87,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Maharashtra,Loamy,6.53,178.1,46.14,144.76,1.78,21.7,719.24,22.24,8.0,Compost,191.33,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Karnataka,Loamy,6.78,124.81,30.38,141.44,1.77,27.12,1259.84,26.01,12.0,Compost,158.02,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Maharashtra,Sandy,7.18,134.59,43.95,115.42,1.06,30.09,1469.76,31.21,19.0,Compost,84.0,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Karnataka,Sandy,7.32,114.79,51.26,115.12,1.34,35.19,713.3,25.21,13.0,Urea,115.21,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Gujarat,Clay,6.96,148.18,28.55,134.93,1.49,22.45,563.03,24.46,12.0,DAP,131.53,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Maharashtra,Silty,7.01,136.35,57.97,141.97,1.7,36.98,1127.18,29.61,5.0,Compost,89.84,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Karnataka,Loamy,6.84,135.59,57.46,112.77,1.61,34.32,939.39,23.36,14.0,Compost,166.52,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Andhra Pradesh,Loamy,5.84,111.01,44.93,134.05,1.03,24.3,667.02,26.36,15.0,Urea,158.76,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Maharashtra,Clay,6.48,129.68,32.46,85.57,1.42,26.65,520.36,24.86,20.0,Potash,152.11,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Silty,6.18,168.71,32.33,134.51,1.42,21.25,964.42,26.21,17.0,Mixed,180.83,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Gujarat,Loamy,6.2,137.4,31.45,110.81,1.33,21.77,663.2,27.48,10.0,Mixed,109.63,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Andhra Pradesh,Clay,7.42,135.15,31.46,80.44,1.09,21.78,450.28,23.38,11.0,Potash,161.66,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Tamil Nadu,Loamy,6.8,121.44,43.82,143.02,1.45,34.93,1278.04,26.69,14.0,Urea,122.8,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Tamil Nadu,Loamy,7.48,127.01,27.95,112.6,1.5,37.58,755.37,23.75,18.0,DAP,181.71,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Gujarat,Sandy,7.49,179.15,45.04,127.44,1.69,31.48,835.27,33.71,17.0,Compost,91.07,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Andhra Pradesh,Sandy,6.77,145.61,52.43,136.04,1.7,20.99,951.18,18.71,6.0,Compost,145.65,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Maharashtra,Peaty,5.96,138.66,42.3,101.47,1.19,23.98,831.13,26.81,6.0,DAP,100.93,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Maharashtra,Sandy,7.38,144.7,57.79,122.2,1.31,32.33,821.07,29.87,16.0,Mixed,113.27,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Tamil Nadu,Clay,7.23,180.5,37.65,139.86,1.28,21.23,742.49,20.12,19.0,DAP,132.07,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Gujarat,Clay,7.15,104.83,26.66,80.89,0.94,20.09,410.0,23.77,19.0,Urea,174.98,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Karnataka,Sandy,7.28,188.67,61.48,159.71,1.27,30.04,902.48,19.94,4.0,Potash,115.12,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Gujarat,Silty,7.37,127.23,49.49,132.78,1.0,31.78,722.75,27.68,5.0,Mixed,146.79,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Karnataka,Sandy,6.59,144.79,26.67,107.12,1.27,27.01,460.49,21.64,20.0,DAP,104.16,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Gujarat,Loamy,6.47,112.96,32.91,84.83,1.26,24.91,458.43,28.67,18.0,Urea,111.4,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Karnataka,Peaty,7.24,151.5,39.0,109.24,1.2,29.8,811.53,30.74,7.0,Urea,92.76,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Andhra Pradesh,Loamy,5.82,164.06,47.21,144.14,1.06,27.89,833.79,30.86,14.0,Mixed,130.18,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Maharashtra,Loamy,7.32,143.65,38.58,80.75,1.45,23.94,540.43,20.85,9.0,Potash,148.89,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Karnataka,Clay,5.81,150.43,41.21,85.61,1.0,36.47,478.42,27.86,16.0,Potash,186.86,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Andhra Pradesh,Loamy,6.42,117.37,52.16,138.48,1.32,27.19,560.47,26.78,18.0,Urea,176.11,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Gujarat,Clay,5.87,135.49,33.03,97.37,0.83,21.95,539.48,24.22,16.0,Potash,161.48,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Gujarat,Clay,7.32,114.4,38.5,91.94,1.15,30.73,746.38,28.77,20.0,Urea,125.44,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Tamil Nadu,Peaty,6.29,120.83,54.81,105.9,1.51,36.85,660.41,24.55,16.0,Compost,192.4,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Karnataka,Clay,7.48,138.9,41.17,124.89,1.62,26.62,1474.23,28.49,18.0,Compost,113.47,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Tamil Nadu,Peaty,6.51,121.02,54.51,133.97,1.1,36.68,763.51,29.07,20.0,Urea,181.02,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Maharashtra,Silty,6.3,151.42,53.89,159.66,1.6,28.03,1075.58,33.7,6.0,Compost,162.22,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Clay,7.23,161.32,41.58,122.5,1.49,36.2,674.36,24.5,8.0,Potash,164.23,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Peaty,7.32,129.45,30.91,111.34,1.33,38.34,561.29,30.51,20.0,Potash,96.4,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Loamy,5.85,168.56,46.02,131.89,1.43,33.6,534.94,32.76,4.0,Potash,136.14,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Karnataka,Clay,6.79,125.59,34.4,120.0,1.06,26.05,808.21,31.14,5.0,Potash,81.34,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Andhra Pradesh,Silty,6.99,170.79,44.15,146.12,1.74,33.02,721.71,20.54,15.0,Compost,90.65,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Tamil Nadu,Peaty,6.13,187.7,39.78,142.9,1.26,26.63,728.75,18.52,11.0,Urea,190.29,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Karnataka,Peaty,6.87,129.0,31.1,113.32,1.21,27.76,419.55,29.4,16.0,Urea,184.32,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Maharashtra,Silty,7.09,159.53,48.66,147.13,1.71,31.29,663.18,18.26,9.0,Compost,122.19,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Maharashtra,Clay,6.59,166.18,40.13,138.75,1.48,25.86,1120.05,28.81,8.0,Potash,155.51,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Andhra Pradesh,Peaty,7.44,116.05,54.69,143.04,1.17,21.9,600.58,26.0,13.0,Urea,109.2,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Andhra Pradesh,Peaty,5.84,158.02,57.17,136.49,1.41,37.0,1094.17,30.37,10.0,Potash,86.84,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Gujarat,Peaty,6.92,149.38,34.23,116.24,1.32,36.51,591.58,24.74,8.0,Mixed,152.65,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Tamil Nadu,Loamy,6.59,145.24,40.83,101.55,1.2,39.56,620.64,29.88,4.0,Urea,191.29,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Tamil Nadu,Clay,6.83,146.69,25.08,101.0,0.98,33.1,636.15,25.49,14.0,DAP,90.74,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Karnataka,Loamy,5.9,157.95,49.6,139.35,1.27,26.48,993.9,30.52,11.0,Potash,96.78,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Loamy,6.74,141.54,48.92,144.56,1.06,38.32,701.13,24.19,10.0,Urea,159.18,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Tamil Nadu,Peaty,7.07,143.87,32.63,96.06,0.86,35.8,413.08,26.82,20.0,Potash,178.92,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Andhra Pradesh,Loamy,6.25,134.56,38.8,96.74,1.32,38.27,751.85,29.54,16.0,Potash,189.23,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Andhra Pradesh,Sandy,7.27,119.13,53.29,142.67,1.56,20.1,741.66,25.23,4.0,Urea,89.36,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Tamil Nadu,Clay,6.62,165.15,56.02,108.26,1.71,32.3,1029.09,31.12,14.0,Compost,170.2,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Karnataka,Sandy,6.07,122.06,37.39,101.38,1.43,35.4,639.47,22.72,12.0,Compost,177.18,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Maharashtra,Silty,6.86,175.54,48.92,153.99,1.3,24.09,687.01,26.24,16.0,Potash,128.82,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Maharashtra,Sandy,6.96,156.42,58.61,114.96,1.63,20.91,1443.06,26.51,9.0,Compost,186.81,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Gujarat,Clay,6.61,106.77,42.18,109.58,0.83,20.51,686.93,26.49,18.0,Urea,177.7,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Gujarat,Silty,7.17,152.31,35.86,159.89,1.78,27.16,1187.3,25.12,9.0,Compost,117.0,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Karnataka,Peaty,7.1,127.85,34.1,114.56,1.52,35.17,685.18,27.48,7.0,Compost,84.91,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Karnataka,Loamy,6.95,147.09,49.97,92.97,1.3,24.89,755.73,28.08,19.0,Potash,127.12,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Tamil Nadu,Sandy,6.58,143.09,35.31,132.8,1.11,20.78,559.94,26.78,7.0,Compost,171.06,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Tamil Nadu,Loamy,6.23,166.25,55.81,157.52,1.64,35.81,695.45,24.81,18.0,Compost,107.97,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Maharashtra,Peaty,6.25,186.91,40.19,158.7,1.61,22.0,830.64,21.9,12.0,Compost,154.0,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Tamil Nadu,Silty,6.8,135.96,41.08,124.37,0.9,23.91,719.56,24.73,11.0,DAP,150.36,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Maharashtra,Peaty,5.98,158.98,33.98,143.61,1.04,20.56,819.56,24.8,12.0,Compost,153.03,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Clay,7.38,165.81,38.54,119.0,1.14,33.62,729.06,32.84,13.0,DAP,195.93,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Karnataka,Peaty,6.66,162.03,41.12,141.03,1.42,39.96,809.95,26.87,11.0,DAP,179.64,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Maharashtra,Loamy,6.99,144.61,43.04,135.06,1.54,34.88,1377.81,33.75,19.0,Compost,110.33,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Gujarat,Peaty,6.08,141.67,51.93,137.64,1.45,21.04,567.18,27.05,9.0,Compost,86.25,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Maharashtra,Sandy,6.12,134.6,40.34,89.93,1.27,29.22,675.1,26.1,7.0,Potash,116.21,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Maharashtra,Peaty,6.1,151.67,52.61,154.02,1.27,32.93,916.3,21.93,6.0,Mixed,125.75,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Maharashtra,Loamy,6.07,121.47,36.45,99.65,1.2,23.45,552.64,28.76,4.0,Potash,136.07,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Gujarat,Loamy,6.7,150.52,50.87,152.23,1.07,32.01,951.5,29.59,13.0,Potash,149.55,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Gujarat,Clay,6.22,149.65,36.99,89.5,1.4,20.26,719.43,24.73,6.0,Potash,139.95,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Peaty,6.58,137.87,42.38,118.35,1.5,39.19,1294.01,33.28,12.0,Urea,126.3,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Tamil Nadu,Clay,6.5,150.17,36.45,124.82,0.99,23.62,785.14,24.16,20.0,Mixed,143.81,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Gujarat,Clay,6.7,151.21,36.52,102.27,0.89,25.45,752.32,23.4,6.0,DAP,97.4,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Maharashtra,Clay,5.9,128.99,34.95,88.54,1.16,24.33,719.58,28.57,8.0,Potash,163.78,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Gujarat,Peaty,6.86,128.8,48.58,128.95,1.0,24.16,525.91,26.57,15.0,DAP,95.8,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Gujarat,Silty,6.98,160.28,49.0,124.25,1.62,30.57,633.18,26.09,19.0,Compost,137.1,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Gujarat,Loamy,7.33,167.8,64.87,140.73,1.26,32.19,723.5,22.01,6.0,Compost,119.89,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Andhra Pradesh,Silty,6.14,139.52,27.24,108.36,1.38,36.16,710.1,23.13,16.0,DAP,93.83,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Gujarat,Sandy,6.84,179.64,51.37,153.62,1.78,22.26,694.73,20.5,8.0,Compost,176.12,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Andhra Pradesh,Clay,7.4,165.5,54.92,132.63,1.39,25.24,1318.68,28.28,4.0,Mixed,199.16,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Tamil Nadu,Peaty,7.04,152.02,38.7,82.1,1.18,23.74,573.58,27.4,9.0,Potash,131.03,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Andhra Pradesh,Clay,6.03,184.65,52.54,137.5,1.58,28.93,917.38,24.96,12.0,Compost,119.19,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Sandy,6.02,161.29,31.17,137.46,1.05,33.31,820.76,31.94,17.0,Potash,106.34,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Maharashtra,Sandy,6.46,139.63,47.2,111.88,1.06,24.18,663.39,27.03,14.0,DAP,114.52,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Karnataka,Silty,5.82,130.83,41.99,117.8,1.33,35.33,796.92,25.05,10.0,Mixed,91.22,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Gujarat,Clay,6.32,124.65,31.68,100.46,1.27,28.35,575.0,25.38,5.0,DAP,111.82,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Tamil Nadu,Silty,6.49,147.43,28.95,83.51,1.25,33.83,564.11,22.27,5.0,DAP,141.99,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Maharashtra,Sandy,6.88,151.36,31.78,115.43,0.83,22.86,479.75,21.22,4.0,Mixed,121.7,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Tamil Nadu,Clay,7.21,138.22,31.87,121.68,1.44,33.21,503.29,29.98,16.0,Urea,93.32,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Maharashtra,Loamy,5.82,151.09,36.62,138.56,1.45,29.42,726.7,28.25,13.0,Potash,82.62,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Gujarat,Clay,6.44,127.84,44.34,135.9,1.31,34.57,579.34,22.16,4.0,Potash,106.21,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Gujarat,Silty,6.49,135.95,31.98,113.36,1.17,32.47,644.7,24.01,13.0,Compost,168.08,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Gujarat,Silty,6.18,176.45,56.65,129.6,1.29,34.98,677.31,22.27,15.0,Compost,97.96,Mid growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Andhra Pradesh,Silty,6.24,152.22,38.44,125.78,1.3,35.83,882.5,27.17,15.0,DAP,103.22,Pre-harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Karnataka,Sandy,5.97,115.45,31.35,116.78,1.33,36.75,642.44,29.65,13.0,Urea,139.09,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
