Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing
Maize,Kerala,Peaty,7.1,137.0,25.4,85.6,1.91,22.8,1082.7,33.0,12,DAP,108.4,Before sowing
Wheat,Karnataka,Silty,7.4,93.5,44.7,133.8,1.4,25.1,610.0,21.8,14,Urea,143.2,Before sowing
Soybean,Tamil Nadu,Loamy,6.8,126.8,30.8,113.3,1.05,34.2,1121.0,22.5,10,Mixed,101.56,Before sowing
Wheat,Maharashtra,Peaty,6.5,91.3,38.7,131.0,1.9,23.4,1160.2,20.9,5,Urea,144.96,After sowing
Tomato,Kerala,Sandy,7.0,84.6,46.8,117.1,1.5,39.9,520.2,20.6,14,Urea,150.32,Before sowing
Tomato,Kerala,Peaty,7.7,105.2,23.9,112.8,1.4,15.9,619.9,20.5,16,DAP,133.84,Pre-harvest
Rice,Andhra Pradesh,Silty,6.6,151.6,49.5,124.6,0.74,42.2,813.0,22.3,16,Mixed,81.72,Before sowing
Rice,Tamil Nadu,Sandy,7.8,140.6,42.0,129.6,0.8,21.3,950.6,23.3,10,Mixed,90.52,After sowing
Maize,Andhra Pradesh,Silty,6.6,142.6,43.5,111.7,1.69,40.2,923.8,23.4,5,Compost,88.92,Mid growth
Potato,Karnataka,Peaty,6.2,105.2,23.5,99.1,0.81,28.7,1126.8,21.6,7,DAP,133.84,After sowing
Cotton,Andhra Pradesh,Sandy,7.3,135.0,22.9,144.6,1.35,25.9,1005.2,23.9,15,DAP,110.0,Mid growth
Sugarcane,Karnataka,Peaty,7.2,83.2,45.2,111.4,1.46,21.6,941.7,31.6,4,Urea,151.44,Mid growth
Rice,Gujarat,Clay,6.7,129.4,33.7,142.6,1.25,40.3,1041.1,26.2,6,Mixed,99.48,Before sowing
Sugarcane,Madhya Pradesh,Loamy,6.1,112.5,44.8,95.9,1.29,39.2,682.8,29.6,6,Potash,113.0,After sowing
Potato,Telangana,Peaty,6.1,88.7,43.8,86.9,0.91,40.7,677.2,34.6,11,Urea,147.04,Mid growth
Millet,Maharashtra,Peaty,7.9,101.5,21.2,129.4,1.18,18.0,966.0,20.5,4,DAP,136.8,Pre-harvest
Tomato,Andhra Pradesh,Clay,7.7,91.1,23.8,92.3,1.94,35.8,1041.1,26.0,10,Urea,145.12,Mid growth
Groundnut,Madhya Pradesh,Silty,6.3,98.8,34.4,118.6,1.45,22.7,1158.9,22.5,5,Urea,138.96,Mid growth
Rice,Telangana,Sandy,7.9,81.2,34.4,103.3,1.17,32.1,748.5,26.2,13,Urea,153.04,Mid growth
Groundnut,Tamil Nadu,Silty,7.3,134.9,45.0,97.5,1.41,32.6,695.8,27.3,8,Potash,95.08,Pre-harvest
Wheat,Kerala,Loamy,6.3,91.3,26.4,87.4,1.52,34.8,1160.5,30.9,11,Urea,144.96,After sowing
Potato,Gujarat,Sandy,5.6,150.7,45.9,111.0,1.38,44.3,825.8,33.6,13,Mixed,82.44,Before sowing
Maize,Madhya Pradesh,Silty,5.7,95.3,33.2,120.9,1.72,44.6,711.1,20.7,5,Urea,141.76,Pre-harvest
Potato,Maharashtra,Silty,7.5,128.4,26.0,114.6,1.61,38.1,799.7,24.6,14,DAP,115.28,After sowing
Tomato,Maharashtra,Loamy,7.9,133.1,32.2,99.6,1.6,22.3,537.4,27.9,11,Potash,96.52,Mid growth
Soybean,Tamil Nadu,Clay,6.2,130.3,23.5,125.8,0.92,15.0,501.5,34.0,7,DAP,113.76,Mid growth
Wheat,Andhra Pradesh,Peaty,7.7,98.7,43.4,122.6,1.96,26.2,945.2,21.0,5,Urea,139.04,Pre-harvest
Cotton,Karnataka,Loamy,6.5,157.1,36.2,100.2,0.68,36.1,915.9,25.6,15,Mixed,77.32,Pre-harvest
Groundnut,Karnataka,Loamy,7.9,81.8,29.1,144.5,0.98,22.6,827.4,32.4,15,Urea,152.56,Pre-harvest
Wheat,Telangana,Loamy,5.8,155.4,43.9,92.7,1.57,26.5,721.8,31.7,15,Potash,78.68,Mid growth
Wheat,Andhra Pradesh,Silty,7.9,90.1,32.6,113.7,1.06,25.9,441.8,30.3,6,Urea,145.92,Before sowing
Tomato,Maharashtra,Loamy,6.6,95.6,44.5,136.2,1.23,24.0,910.5,24.3,6,Urea,141.52,After sowing
Potato,Kerala,Peaty,6.1,138.4,21.2,86.6,0.51,19.6,455.2,34.9,8,DAP,107.28,Mid growth
Soybean,Kerala,Silty,6.2,91.9,27.2,145.5,1.28,25.9,1098.7,25.9,10,Urea,144.48,Before sowing
Potato,Tamil Nadu,Sandy,6.3,96.6,31.3,102.2,1.52,23.7,861.8,21.0,9,Urea,140.72,After sowing
Cotton,Andhra Pradesh,Peaty,6.0,112.6,48.1,106.4,1.5,22.7,501.6,20.9,16,Mixed,112.92,After sowing
Rice,Karnataka,Loamy,6.3,92.6,25.2,133.3,0.52,31.7,703.6,27.6,4,Urea,143.92,Before sowing
Maize,Andhra Pradesh,Silty,6.9,105.1,28.9,131.3,1.81,20.8,478.1,33.5,8,DAP,133.92,Mid growth
Potato,Kerala,Peaty,6.4,124.1,30.8,88.8,1.38,30.8,562.4,26.8,16,Potash,103.72,After sowing
Cotton,Tamil Nadu,Silty,7.5,127.2,22.9,118.4,1.55,38.8,903.3,22.3,9,DAP,116.24,After sowing
Soybean,Andhra Pradesh,Sandy,7.3,134.2,20.7,108.8,1.0,35.1,572.9,28.9,10,DAP,110.64,Before sowing
Soybean,Tamil Nadu,Loamy,7.8,143.8,47.6,148.5,0.52,33.7,730.3,32.9,9,Mixed,87.96,Pre-harvest
Cotton,Tamil Nadu,Clay,6.1,158.5,38.4,135.5,0.63,20.5,1006.7,20.3,5,Mixed,76.2,After sowing
Rice,Gujarat,Peaty,7.5,81.1,39.7,105.6,1.42,35.9,674.0,21.6,13,Urea,153.12,Mid growth
Potato,Andhra Pradesh,Silty,5.7,127.1,35.6,132.0,1.26,27.7,718.5,20.4,5,Mixed,101.32,Pre-harvest
Potato,Gujarat,Silty,6.3,158.1,46.2,103.1,1.38,40.4,753.0,20.3,16,Mixed,76.52,Mid growth
Rice,Tamil Nadu,Sandy,5.7,120.8,49.1,128.5,0.61,20.7,1017.1,32.6,6,Mixed,106.36,Pre-harvest
Sugarcane,Madhya Pradesh,Clay,7.0,131.6,20.9,138.0,1.68,22.8,966.9,23.2,12,DAP,112.72,Mid growth
Groundnut,Madhya Pradesh,Clay,5.6,96.1,25.4,103.6,1.13,30.3,781.4,24.1,4,Urea,141.12,Before sowing
Cotton,Tamil Nadu,Silty,5.6,128.4,31.9,100.9,1.8,37.4,1086.2,27.4,7,Compost,100.28,Before sowing
Wheat,Kerala,Clay,5.8,135.7,26.2,110.9,0.6,39.8,500.8,33.5,7,DAP,109.44,Before sowing
Rice,Gujarat,Peaty,7.7,117.2,42.3,123.4,1.7,28.0,1028.6,26.9,5,Compost,109.24,Mid growth
Wheat,Tamil Nadu,Peaty,7.9,118.9,33.9,135.0,1.73,31.6,543.8,27.0,7,Compost,107.88,Before sowing
Cotton,Karnataka,Loamy,7.9,140.2,44.3,82.3,1.2,34.4,1064.0,20.7,14,Potash,90.84,Pre-harvest
Cotton,Telangana,Peaty,7.6,123.9,25.9,102.2,0.92,30.9,441.3,22.4,5,DAP,118.88,After sowing
Tomato,Tamil Nadu,Silty,7.5,90.6,27.0,111.7,1.28,37.9,757.9,31.8,8,Urea,145.52,Mid growth
Rice,Tamil Nadu,Clay,7.0,89.0,24.7,110.6,1.1,37.3,864.6,25.8,9,Urea,146.8,After sowing
Rice,Maharashtra,Loamy,5.9,98.1,37.3,109.6,1.27,20.1,930.3,32.8,14,Urea,139.52,Before sowing
Sugarcane,Gujarat,Sandy,6.1,119.3,49.3,103.3,1.39,17.7,884.8,21.3,10,Mixed,107.56,Before sowing
Cotton,Andhra Pradesh,Peaty,7.9,137.3,43.6,129.3,1.38,28.5,1086.7,34.4,11,Mixed,93.16,Mid growth
Sugarcane,Telangana,Peaty,6.7,154.5,37.5,117.7,1.18,21.3,403.0,23.6,4,Mixed,79.4,Before sowing
Tomato,Karnataka,Loamy,6.8,110.4,33.5,148.6,1.03,28.6,506.8,20.7,14,Mixed,114.68,Mid growth
Potato,Tamil Nadu,Silty,7.4,125.7,42.8,90.5,1.36,22.6,582.4,20.2,8,Potash,102.44,Pre-harvest
Cotton,Madhya Pradesh,Sandy,5.8,104.7,23.5,149.0,0.96,18.9,559.3,28.8,14,DAP,134.24,Mid growth
Cotton,Kerala,Sandy,5.7,149.0,48.8,97.3,1.18,15.7,912.6,26.2,10,Potash,83.8,Before sowing
Maize,Maharashtra,Silty,6.2,96.5,39.6,109.1,0.77,35.7,852.1,32.9,9,Urea,140.8,After sowing
Groundnut,Telangana,Loamy,5.8,142.9,40.2,88.1,1.54,28.2,1156.0,22.1,11,Potash,88.68,After sowing
Soybean,Madhya Pradesh,Loamy,7.1,110.6,48.7,103.1,1.94,42.0,616.3,32.1,6,Compost,114.52,Mid growth
Wheat,Karnataka,Clay,8.0,100.2,33.1,116.4,0.94,15.5,576.1,24.2,13,Mixed,122.84,Before sowing
Millet,Tamil Nadu,Clay,6.6,93.7,46.2,129.3,0.63,34.5,922.9,34.3,14,Urea,143.04,After sowing
Groundnut,Madhya Pradesh,Clay,5.5,99.8,47.8,145.2,1.58,38.0,473.2,27.7,13,Urea,138.16,After sowing
Tomato,Madhya Pradesh,Peaty,6.1,94.5,44.3,89.5,1.2,43.2,548.7,34.7,6,Urea,142.4,After sowing
Maize,Madhya Pradesh,Clay,8.0,124.4,25.1,102.1,1.14,24.3,624.5,34.6,6,DAP,118.48,Pre-harvest
Maize,Karnataka,Clay,5.9,138.7,20.0,121.7,1.87,23.6,548.4,29.8,9,DAP,107.04,Mid growth
Wheat,Kerala,Peaty,7.3,135.0,29.6,97.7,1.93,42.7,765.9,32.7,6,DAP,110.0,After sowing
Groundnut,Kerala,Sandy,6.6,114.0,24.7,109.8,1.31,15.7,755.3,31.7,4,DAP,126.8,Pre-harvest
Sugarcane,Andhra Pradesh,Silty,7.2,130.8,47.3,81.3,1.34,38.6,833.1,24.9,9,Potash,98.36,After sowing
Tomato,Maharashtra,Sandy,5.8,151.0,34.1,141.5,1.38,35.2,1043.4,29.9,15,Mixed,82.2,Mid growth
Potato,Maharashtra,Loamy,6.5,121.1,44.1,106.2,1.08,17.9,1131.7,21.4,5,Mixed,106.12,After sowing
Maize,Telangana,Loamy,7.1,113.1,32.2,127.6,0.6,32.8,1017.6,32.4,4,Mixed,112.52,Pre-harvest
Maize,Maharashtra,Loamy,5.9,151.8,39.7,141.7,1.23,31.3,1135.2,33.5,16,Mixed,81.56,Pre-harvest
Wheat,Madhya Pradesh,Sandy,6.6,102.0,31.8,107.1,0.93,23.1,1088.9,21.0,10,Mixed,121.4,Before sowing
Rice,Tamil Nadu,Loamy,7.2,93.8,30.3,84.3,0.9,38.1,1108.0,23.3,14,Urea,142.96,After sowing
Millet,Gujarat,Peaty,6.7,117.6,46.2,133.4,1.27,35.1,1077.9,20.1,5,Mixed,108.92,Before sowing
Millet,Maharashtra,Peaty,6.5,152.6,42.2,118.0,1.29,25.4,816.4,29.8,11,Mixed,80.92,Before sowing
Groundnut,Tamil Nadu,Clay,6.5,137.1,45.8,90.8,1.18,27.2,950.0,23.7,11,Potash,93.32,After sowing
Wheat,Telangana,Peaty,7.1,150.2,32.5,143.8,1.99,18.2,586.4,34.3,13,Compost,82.84,After sowing
Tomato,Maharashtra,Loamy,7.9,87.8,20.4,91.3,1.99,20.4,802.0,32.7,5,Urea,147.76,After sowing
Rice,Karnataka,Loamy,5.6,128.4,28.3,140.4,0.93,35.6,939.4,23.3,6,DAP,115.28,Before sowing
Groundnut,Gujarat,Silty,5.6,112.7,28.7,136.6,1.7,28.7,885.2,29.1,15,DAP,127.84,Before sowing
Soybean,Karnataka,Loamy,7.6,114.0,28.3,98.6,1.3,28.5,752.1,21.4,5,DAP,126.8,After sowing
Maize,Tamil Nadu,Silty,7.3,97.1,25.9,108.9,0.84,32.5,697.2,26.7,5,Urea,140.32,Pre-harvest
Sugarcane,Madhya Pradesh,Clay,6.8,96.3,24.7,141.6,1.15,27.4,428.5,27.5,14,Urea,140.96,Before sowing
Millet,Maharashtra,Sandy,6.9,124.7,41.2,92.4,0.88,39.3,1157.7,22.0,12,Potash,103.24,After sowing
Maize,Telangana,Clay,6.7,97.1,21.8,102.8,0.72,36.3,827.0,22.2,5,Urea,140.32,After sowing
Sugarcane,Madhya Pradesh,Sandy,5.5,144.7,25.3,122.4,1.01,32.6,652.5,21.3,8,DAP,102.24,Pre-harvest
Wheat,Maharashtra,Sandy,6.1,95.0,32.8,126.1,0.9,15.4,815.1,29.1,11,Urea,142.0,After sowing
Maize,Kerala,Peaty,7.9,127.2,34.1,120.1,1.89,39.9,658.4,23.6,10,Compost,101.24,Before sowing
Maize,Telangana,Peaty,6.2,120.4,42.3,115.2,0.6,36.7,1044.8,24.3,10,Mixed,106.68,Mid growth
Sugarcane,Tamil Nadu,Silty,7.2,114.1,46.7,139.2,1.29,35.7,1106.7,27.4,9,Mixed,111.72,Pre-harvest
Groundnut,Telangana,Silty,6.3,140.3,26.6,107.2,1.8,36.7,723.0,23.2,9,DAP,105.76,Pre-harvest
Rice,Maharashtra,Silty,6.4,102.7,25.3,132.0,0.88,28.6,708.7,34.7,15,DAP,135.84,Mid growth
Maize,Tamil Nadu,Sandy,6.5,86.4,22.7,121.4,1.4,27.6,745.5,20.8,15,Urea,148.88,Pre-harvest
Millet,Karnataka,Clay,6.8,120.4,24.5,87.3,0.69,18.0,887.8,22.9,9,DAP,121.68,Before sowing
Tomato,Kerala,Silty,6.1,93.9,48.7,139.8,0.85,24.8,567.9,27.4,16,Urea,142.88,Mid growth
Millet,Kerala,Peaty,5.5,133.7,35.7,142.9,0.75,39.1,1033.6,21.9,11,Mixed,96.04,Mid growth
Sugarcane,Kerala,Clay,6.5,93.6,27.6,98.4,1.33,27.3,1158.2,21.9,16,Urea,143.12,After sowing
Potato,Karnataka,Peaty,7.9,98.5,43.2,103.7,0.71,40.7,647.1,29.9,8,Urea,139.2,Mid growth
Sugarcane,Madhya Pradesh,Clay,6.9,117.7,34.9,131.3,0.63,35.0,1116.6,20.9,7,Mixed,108.84,After sowing
Groundnut,Telangana,Peaty,5.9,137.3,33.1,108.2,0.71,30.2,501.2,27.1,11,Mixed,93.16,After sowing
Sugarcane,Kerala,Silty,7.4,100.7,34.4,149.4,1.53,40.2,731.9,31.5,16,Compost,122.44,Mid growth
Soybean,Telangana,Clay,5.6,89.8,26.1,108.1,1.77,25.4,923.7,30.6,14,Urea,146.16,Before sowing
Sugarcane,Tamil Nadu,Peaty,7.0,108.6,37.3,104.0,0.63,44.8,501.7,21.1,15,Mixed,116.12,Before sowing
Sugarcane,Karnataka,Silty,7.7,104.1,39.5,103.0,1.09,22.9,674.4,26.2,8,Mixed,119.72,Mid growth
Maize,Telangana,Sandy,7.3,120.9,48.3,82.9,1.25,32.5,1136.2,20.7,10,Potash,106.28,Pre-harvest
Potato,Telangana,Clay,6.9,148.3,27.3,141.3,0.53,37.0,1146.5,29.9,14,DAP,99.36,Pre-harvest
Maize,Andhra Pradesh,Peaty,6.6,83.6,47.6,112.9,0.54,35.7,785.5,21.9,13,Urea,151.12,Mid growth
Maize,Gujarat,Silty,6.0,85.2,37.2,123.5,1.26,39.5,1088.8,29.2,10,Urea,149.84,Mid growth
Rice,Telangana,Peaty,5.5,135.6,32.5,119.6,1.47,25.5,1133.7,22.0,7,Mixed,94.52,After sowing
Soybean,Kerala,Silty,7.2,80.3,47.7,87.9,0.64,25.0,698.9,23.2,9,Urea,153.76,Pre-harvest
Soybean,Kerala,Peaty,7.0,115.4,21.0,102.4,1.72,35.7,979.9,30.5,4,DAP,125.68,Mid growth
Wheat,Maharashtra,Silty,6.3,88.0,28.2,138.2,1.97,29.8,407.8,22.1,10,Urea,147.6,Mid growth
Sugarcane,Andhra Pradesh,Silty,6.3,126.3,22.3,146.0,1.05,42.4,1024.4,31.3,11,DAP,116.96,Mid growth
Sugarcane,Maharashtra,Loamy,7.0,130.1,39.1,124.0,1.33,44.6,985.8,31.7,5,Mixed,98.92,Mid growth
Soybean,Telangana,Clay,7.7,97.3,22.5,113.8,1.27,39.9,755.0,28.6,12,Urea,140.16,Before sowing
Groundnut,Karnataka,Silty,6.8,83.1,38.5,138.0,0.74,32.8,874.9,22.5,12,Urea,151.52,Mid growth
Soybean,Tamil Nadu,Loamy,5.8,158.4,31.8,95.9,0.76,35.0,887.6,29.7,8,Potash,76.28,After sowing
Millet,Maharashtra,Sandy,5.7,151.5,31.7,101.9,1.19,26.7,1090.9,33.9,9,Mixed,81.8,Before sowing
Potato,Maharashtra,Sandy,6.3,149.1,43.4,145.2,0.87,32.3,619.6,32.4,10,Mixed,83.72,Mid growth
Potato,Madhya Pradesh,Silty,5.5,125.2,30.2,102.6,1.47,40.5,887.4,32.8,14,Mixed,102.84,Mid growth
Rice,Maharashtra,Silty,6.2,121.6,33.5,80.8,1.34,34.8,873.5,31.0,15,Potash,105.72,Mid growth
Soybean,Madhya Pradesh,Loamy,6.9,85.3,23.5,121.8,0.91,17.4,743.7,28.3,8,Urea,149.76,Before sowing
Cotton,Telangana,Peaty,6.3,137.6,39.3,103.3,1.63,34.5,910.0,28.3,11,Compost,92.92,Mid growth
Cotton,Telangana,Clay,5.5,135.7,31.3,146.0,1.73,32.6,601.7,23.1,12,Compost,94.44,Mid growth
Maize,Kerala,Sandy,6.4,118.1,28.9,116.0,0.75,44.3,486.3,34.0,10,DAP,123.52,After sowing
Potato,Tamil Nadu,Sandy,7.8,122.0,41.7,110.5,1.45,25.2,640.9,28.7,8,Mixed,105.4,Mid growth
Sugarcane,Madhya Pradesh,Peaty,6.7,126.4,28.6,105.7,0.63,16.6,602.8,21.1,16,DAP,116.88,Before sowing
Potato,Maharashtra,Peaty,5.8,145.0,21.2,126.1,0.91,41.1,788.0,24.6,5,DAP,102.0,Pre-harvest
Potato,Tamil Nadu,Silty,6.8,110.6,36.9,88.0,2.0,27.8,678.6,30.7,10,Potash,114.52,Pre-harvest
Maize,Tamil Nadu,Clay,6.4,146.7,33.6,130.4,0.66,40.4,988.6,23.2,9,Mixed,85.64,After sowing
Soybean,Kerala,Loamy,5.9,105.3,49.3,98.0,1.18,15.9,717.8,28.6,10,Potash,118.76,After sowing
Potato,Telangana,Peaty,7.9,121.3,44.6,118.3,0.56,24.5,860.4,34.3,11,Mixed,105.96,Before sowing
Soybean,Kerala,Clay,7.6,98.3,26.6,94.1,1.88,40.6,1019.9,25.9,10,Urea,139.36,Pre-harvest
Sugarcane,Madhya Pradesh,Silty,6.8,117.1,27.6,115.4,0.55,19.0,1109.3,31.3,13,DAP,124.32,Before sowing
Wheat,Andhra Pradesh,Peaty,6.6,121.4,31.1,131.9,1.68,37.9,978.1,23.1,11,Compost,105.88,Pre-harvest
Cotton,Kerala,Loamy,6.3,117.6,29.9,132.8,0.99,19.1,719.2,34.7,5,DAP,123.92,Pre-harvest
Potato,Andhra Pradesh,Sandy,6.1,129.0,33.0,85.0,1.23,36.1,810.6,33.1,4,Potash,99.8,Before sowing
Cotton,Kerala,Loamy,6.2,86.9,48.1,106.5,1.36,38.8,659.5,30.7,15,Urea,148.48,Pre-harvest
Sugarcane,Andhra Pradesh,Sandy,5.8,103.3,24.3,136.8,0.83,36.5,1154.6,27.9,12,DAP,135.36,Pre-harvest
Rice,Maharashtra,Clay,6.9,116.9,29.8,113.3,1.4,44.6,1150.2,32.9,8,DAP,124.48,After sowing
Millet,Gujarat,Clay,7.7,117.4,39.7,142.7,1.09,43.9,732.6,29.0,13,Mixed,109.08,Before sowing
Groundnut,Madhya Pradesh,Loamy,7.3,156.0,27.3,132.2,1.28,23.1,1021.3,28.3,5,DAP,93.2,Mid growth
Maize,Kerala,Clay,7.2,105.8,34.4,123.2,1.11,21.0,1169.3,27.7,9,Mixed,118.36,Before sowing
Soybean,Tamil Nadu,Silty,7.3,112.9,30.7,108.5,1.11,31.3,834.8,27.5,6,Mixed,112.68,After sowing
Sugarcane,Telangana,Silty,5.8,119.7,25.1,88.8,1.9,33.1,927.6,26.0,5,DAP,122.24,Pre-harvest
Rice,Madhya Pradesh,Peaty,7.8,131.0,43.1,105.8,1.94,39.6,1083.2,22.6,13,Compost,98.2,Mid growth
Soybean,Maharashtra,Clay,6.2,102.9,28.1,139.9,0.55,17.3,619.1,23.0,16,DAP,135.68,Pre-harvest
Groundnut,Kerala,Peaty,6.1,143.8,36.9,80.4,1.14,27.2,491.2,30.1,9,Potash,87.96,Pre-harvest
Groundnut,Andhra Pradesh,Silty,7.3,137.7,41.9,80.0,1.93,39.4,1123.2,20.2,5,Potash,92.84,Pre-harvest
Potato,Maharashtra,Loamy,7.8,144.8,45.1,86.5,1.61,43.8,942.8,28.6,8,Potash,87.16,Mid growth
Cotton,Andhra Pradesh,Sandy,7.9,115.4,38.0,113.3,1.9,17.3,800.9,30.3,12,Compost,110.68,Mid growth
Cotton,Tamil Nadu,Silty,7.5,126.6,47.3,145.9,0.6,27.1,418.8,24.9,5,Mixed,101.72,Mid growth
Cotton,Tamil Nadu,Clay,6.8,152.9,45.4,88.9,0.64,32.7,825.7,24.0,11,Potash,80.68,Mid growth
Maize,Telangana,Sandy,7.7,154.2,32.1,142.3,1.08,37.1,780.8,21.8,4,Mixed,79.64,Mid growth
Rice,Maharashtra,Silty,7.8,116.3,42.0,105.7,0.53,18.0,797.0,30.3,12,Mixed,109.96,Pre-harvest
Groundnut,Andhra Pradesh,Loamy,6.3,135.6,41.0,129.3,1.24,42.4,791.4,26.8,7,Mixed,94.52,Mid growth
Sugarcane,Karnataka,Sandy,6.0,104.6,21.3,124.3,0.87,24.1,1016.7,24.9,11,DAP,134.32,Before sowing
Sugarcane,Tamil Nadu,Silty,6.1,93.5,43.2,89.1,1.18,30.2,949.9,29.5,14,Urea,143.2,Before sowing
Sugarcane,Tamil Nadu,Loamy,7.5,83.6,28.9,99.6,0.72,23.7,647.8,27.8,5,Urea,151.12,Pre-harvest
Groundnut,Karnataka,Silty,7.2,110.5,41.6,103.5,0.94,31.2,419.0,21.2,10,Mixed,114.6,After sowing
Millet,Andhra Pradesh,Loamy,6.5,155.4,41.6,86.2,1.77,37.0,888.8,32.3,11,Potash,78.68,Pre-harvest
Groundnut,Tamil Nadu,Sandy,6.5,97.7,35.4,118.4,1.31,32.0,1159.0,33.5,14,Urea,139.84,Before sowing
Sugarcane,Telangana,Loamy,7.7,144.1,48.3,86.9,0.9,29.9,1077.2,27.6,15,Potash,87.72,Before sowing
Groundnut,Maharashtra,Silty,7.4,91.1,27.6,131.2,0.75,25.5,611.9,25.2,11,Urea,145.12,Pre-harvest
Wheat,Madhya Pradesh,Silty,7.3,109.4,36.7,87.0,1.71,26.1,918.8,30.9,4,Potash,115.48,After sowing
Groundnut,Kerala,Loamy,6.0,150.8,38.5,110.0,0.77,43.3,1004.1,23.1,10,Mixed,82.36,Before sowing
Cotton,Telangana,Sandy,6.3,144.8,40.9,133.6,1.16,36.5,709.2,23.2,15,Mixed,87.16,Before sowing
Tomato,Maharashtra,Sandy,7.1,158.1,29.3,112.3,1.51,31.2,1074.7,31.4,15,DAP,91.52,Pre-harvest
Maize,Andhra Pradesh,Loamy,5.6,159.9,42.6,140.5,1.48,40.7,489.9,25.2,9,Mixed,75.08,Pre-harvest
Millet,Andhra Pradesh,Sandy,7.7,96.1,22.3,135.2,1.75,19.9,1083.5,30.3,9,Urea,141.12,After sowing
Tomato,Gujarat,Clay,6.8,146.4,32.6,93.6,0.93,30.2,825.1,32.1,6,Potash,85.88,Mid growth
Wheat,Tamil Nadu,Clay,7.5,126.5,43.4,93.4,0.58,41.2,460.4,23.7,15,Potash,101.8,Pre-harvest
Millet,Madhya Pradesh,Silty,7.2,112.8,46.3,100.9,0.52,24.0,862.5,25.6,4,Mixed,112.76,After sowing
Millet,Madhya Pradesh,Clay,6.8,150.1,47.4,98.6,1.19,31.5,1159.3,35.0,12,Potash,82.92,After sowing
Potato,Karnataka,Sandy,6.1,138.2,31.3,80.6,0.51,28.8,790.7,20.3,9,Potash,92.44,Pre-harvest
Tomato,Madhya Pradesh,Sandy,7.2,103.5,36.8,101.1,0.75,27.2,585.8,28.0,12,Mixed,120.2,Mid growth
Sugarcane,Madhya Pradesh,Silty,6.0,120.7,24.7,127.0,1.63,18.3,774.2,21.1,13,DAP,121.44,Mid growth
Potato,Madhya Pradesh,Sandy,7.0,101.2,35.8,116.2,1.89,31.5,866.4,26.0,15,Compost,122.04,Mid growth
Groundnut,Karnataka,Silty,7.9,142.2,28.6,139.1,1.15,39.9,1058.3,22.8,8,DAP,104.24,Pre-harvest
Tomato,Karnataka,Clay,7.3,103.3,28.9,100.7,1.59,21.9,400.7,30.7,7,DAP,135.36,Pre-harvest
Cotton,Tamil Nadu,Clay,5.9,88.4,27.1,106.6,1.21,16.3,1176.5,30.7,9,Urea,147.28,Before sowing
Millet,Kerala,Silty,6.3,105.5,33.5,123.8,0.72,20.7,1087.5,23.8,11,Mixed,118.6,After sowing
Potato,Karnataka,Sandy,6.5,149.7,39.9,103.9,1.53,15.6,988.5,27.3,8,Compost,83.24,After sowing
Wheat,Kerala,Sandy,7.5,156.4,47.8,143.6,1.27,25.8,772.0,30.3,13,Mixed,77.88,Mid growth
Soybean,Kerala,Peaty,7.7,96.6,47.5,137.1,1.97,41.4,623.9,21.6,11,Urea,140.72,Mid growth
Sugarcane,Maharashtra,Sandy,5.8,103.3,38.4,136.3,1.85,33.7,404.5,22.8,16,Compost,120.36,Mid growth
Soybean,Maharashtra,Sandy,5.7,109.1,35.0,83.0,1.02,20.4,917.7,27.0,9,Potash,115.72,Before sowing
Potato,Madhya Pradesh,Silty,6.7,114.2,48.7,95.0,1.27,37.1,845.5,33.9,6,Potash,111.64,Pre-harvest
Millet,Telangana,Loamy,6.4,117.1,22.7,122.6,0.93,19.8,835.6,28.0,9,DAP,124.32,After sowing
Groundnut,Madhya Pradesh,Peaty,5.7,135.9,38.7,93.2,1.2,36.6,823.5,25.9,6,Potash,94.28,Pre-harvest
Maize,Andhra Pradesh,Silty,6.3,128.8,48.2,127.0,0.61,28.8,1112.7,21.4,15,Mixed,99.96,Mid growth
Groundnut,Tamil Nadu,Clay,8.0,155.9,22.3,145.3,1.04,40.3,734.7,26.6,5,DAP,93.28,Before sowing
Groundnut,Andhra Pradesh,Silty,7.1,142.0,21.0,121.5,0.78,25.4,678.4,27.0,11,DAP,104.4,Before sowing
Potato,Madhya Pradesh,Clay,6.3,88.6,24.4,82.3,1.21,43.6,492.5,34.2,8,Urea,147.12,Pre-harvest
Cotton,Gujarat,Loamy,7.3,131.0,39.4,137.9,0.66,30.1,957.7,28.8,12,Mixed,98.2,After sowing
Millet,Gujarat,Loamy,7.6,85.8,40.7,117.4,1.07,25.2,896.7,33.4,10,Urea,149.36,Before sowing
Wheat,Telangana,Clay,6.7,146.0,32.1,87.2,0.59,16.5,704.1,25.1,16,Potash,86.2,After sowing
Soybean,Tamil Nadu,Silty,7.3,139.4,21.5,95.5,0.91,31.4,515.6,22.0,11,DAP,106.48,Pre-harvest
Maize,Telangana,Clay,7.9,144.3,25.4,108.5,1.03,38.7,808.2,21.9,16,DAP,102.56,Pre-harvest
Rice,Maharashtra,Silty,7.3,111.8,27.9,106.3,1.25,25.3,593.5,26.0,10,DAP,128.56,Mid growth
Soybean,Andhra Pradesh,Clay,5.5,141.8,25.1,83.1,1.48,38.2,1051.1,27.4,10,DAP,104.56,Pre-harvest
